,0
-1301,1
-730,1
2343,1
-1300,1
1772,1
1317,1
-1243,1
805,1
-1812,1
-787,1
27872,1
-1299,1
-1756,1
1316,1
-1241,1
1319,1
-2325,1
1767,1
-7384,1
3300,1
1766,1
-4311,1
1047765,1
2790,1
743,1
-3800,1
-3288,1
1257,1
744,1
1256,1
3305,1
1832,1
1320,1
-1240,1
808,1
-4822,1
-1244,1
750,1
-2314,1
-786,1
-4362,1
-1292,1
1822,1
-1250,1
-738,1
-779,1
1269,1
-3812,1
-1763,1
-1291,1
-1803,1
-2313,1
-2825,1
2332,1
-3337,1
1820,1
-1252,1
796,1
-1290,1
1823,1
2293,1
755,1
-1809,1
-2267,1
-3806,1
1315,1
-3294,1
27362,1
1263,1
1775,1
1314,1
-6879,1
800,1
-1296,1
-3855,1
-1295,1
2291,1
-2829,1
1824,1
-1760,1
-1248,1
-1205,1
-692,1
631,1
1168,1
-3721,1
-1162,1
886,1
-879,1
3216,1
1681,1
-1675,1
-878,1
18074,1
885,1
-6000,1
-2414,1
1171,1
-6282,1
-1901,1
-3211,1
-875,1
-652,1
1048671,1
-3439,1
887,1
33628,1
-880,1
1164,1
2188,1
-1670,1
653,1
25729,1
1165,1
1048694,1
29824,1
1048752,1
-1159,1
1166,1
2190,1
655,1
-3719,1
-1160,1
888,1
3214,1
1167,1
656,1
1173,1
-1387,1
-1899,1
662,1
4973,1
-869,1
-868,1
-1682,1
-1380,1
4255,1
-1048722,1
1901,1
1048795,1
-867,1
-1379,1
2412,1
-2196,1
1900,1
-1684,1
1388,1
-3219,1
876,1
-2402,1
-1169,1
-3429,1
4760,1
25748,1
-653,1
1686,1
1048607,1
-1898,1
1687,1
-1166,1
-654,1
-872,1
1905,1
880,1
1176,1
1393,1
-1384,1
881,1
33633,1
2200,1
-4453,1
1392,1
-645,1
-884,1
-1909,1
1924,1
-2947,1
1148,1
-4214,1
-1145,1
-6530,1
2438,1
-2436,1
1414,1
902,1
1149,1
-2681,1
-1411,1
-898,1
-1659,1
25993,1
1413,1
-2946,1
-2943,1
1152,1
1416,1
-5511,1
2170,1
-903,1
908,1
-905,1
-2951,1
-904,1
907,1
1656,1
633,1
-4215,1
-2952,1
-1926,1
-1654,1
1145,1
-1415,1
1048552,1
2683,1
1146,1
-1143,1
-2680,1
32651,1
-2944,1
-1397,1
-2171,1
-1665,1
1407,1
-888,1
7036,1
-2690,1
-3447,1
-1400,1
1048609,1
-1666,1
1406,1
649,1
1161,1
-2689,1
-1911,1
-1048446,1
1405,1
-3445,1
-2180,1
892,1
-1401,1
2182,1
1408,1
1157,1
-4218,1
1048654,1
1668,1
-1916,1
-2428,1
645,1
1922,1
-1150,1
-10111,1
6276,1
2435,1
2183,1
-6271,1
-890,1
1409,1
1158,1
1670,1
-3961,1
-4451,1
1899,1
-2710,1
30899,1
-3913,1
-1706,1
-3753,1
1366,1
2230,1
854,1
695,1
1877,1
27828,1
1209,1
-1863,1
-2732,1
-4424,1
698,1
-2885,1
-1708,1
-1196,1
-7337,1
2234,1
-4940,1
-681,1
855,1
692,1
2226,1
-1702,1
-1190,1
-2382,1
-4943,1
-4264,1
-1357,1
-3752,1
1204,1
-2215,1
16573,1
1205,1
-4261,1
-1704,1
-1867,1
856,1
2231,1
33446,1
1211,1
701,1
-3405,1
-835,1
2894,1
25411,1
-4787,1
-689,1
-1344,1
-2368,1
1358,1
3264,1
-1343,1
20680,1
-3252,1
706,1
-1342,1
1730,1
-2228,1
-2366,1
-4273,1
1356,1
-1204,1
1871,1
-2223,1
704,1
-2736,1
4433,1
1213,1
850,1
-686,1
-3908,1
1873,1
-5805,1
-1199,1
-834,1
-1345,1
-4781,1
-1346,1
2384,1
-833,1
-3759,1
-1200,1
-3247,1
1215,1
-1358,1
-6824,1
1183,1
1379,1
-4763,1
2406,1
1048586,1
1382,1
1700,1
-859,1
-1048422,1
1048536,1
25769,1
-1371,1
-3417,1
3429,1
679,1
-1180,1
-668,1
-2715,1
-857,1
680,1
-4250,1
2918,1
-2395,1
1383,1
-1175,1
-864,1
1184,1
-1174,1
-3935,1
18600,1
-6494,1
2720,1
1897,1
674,1
-2199,1
1186,1
-1374,1
-1688,1
1384,1
2921,1
-5984,1
675,1
-1373,1
-3742,1
3426,1
-1871,1
-3230,1
-1697,1
-1876,1
1048581,1
1374,1
-7331,1
-1363,1
862,1
-2386,1
687,1
-1361,1
1373,1
4959,1
18617,1
-6477,1
-1360,1
1372,1
-5966,1
-3408,1
1713,1
1887,1
3757,1
-1364,1
-3744,1
-1181,1
27502,1
1192,1
18080,1
-1880,1
-2392,1
-2717,1
-5461,1
-1367,1
1195,1
865,1
-2720,1
-1879,1
2731,1
-2208,1
-2390,1
1888,1
1376,1
2816,1
