,0
339,14
-411,14
-322,14
-399,14
336,14
-344,14
357,14
-329,14
363,14
310,14
323,14
333,14
368,14
-370,14
331,14
-381,14
-366,14
376,13
-330,13
344,13
300,13
-402,13
377,13
-334,13
-360,13
-364,13
365,13
370,13
382,13
-357,13
278,13
354,13
-375,13
-425,13
-427,13
-379,13
-417,13
-293,13
-321,13
-418,13
327,13
407,13
334,12
-353,12
421,12
337,12
396,12
-409,12
-359,12
-406,12
-349,12
-390,12
-315,12
313,12
438,12
-444,12
-434,12
-415,12
-396,12
393,12
-393,12
-458,12
302,12
-333,12
371,12
390,12
381,12
406,12
-335,12
-419,12
-327,12
-511,12
-362,12
-400,12
-437,12
-369,12
386,11
-392,11
-442,11
-455,11
-361,11
-355,11
-367,11
475,11
-473,11
-365,11
-373,11
-471,11
-388,11
397,11
-503,11
433,11
408,11
-416,11
457,11
427,11
349,11
564,11
428,11
-383,11
356,11
-404,11
389,11
-377,11
-339,11
-476,11
360,11
385,11
-461,11
422,10
415,10
-372,10
372,10
-337,10
-363,10
423,10
450,10
-332,10
496,10
-420,10
-535,10
345,10
391,10
-514,10
-426,10
-391,10
-351,10
-432,10
-407,10
-547,10
432,10
410,10
-477,10
-502,10
-459,10
367,10
387,10
480,10
355,10
-398,10
-478,10
-443,10
383,10
-466,9
468,9
-376,9
-544,9
374,9
347,9
-523,9
-526,9
326,9
-488,9
341,9
-484,9
-481,9
473,9
543,9
351,9
477,9
-352,9
-354,9
-358,9
-495,9
388,9
-447,9
430,9
-424,9
-413,9
-386,9
-465,9
-460,9
-435,9
404,9
444,9
460,9
-401,9
420,9
-389,9
409,9
-421,9
448,9
-441,9
392,9
-584,9
-440,9
425,9
315,8
-615,8
-475,8
-453,8
416,8
-423,8
-468,8
500,8
471,8
447,8
454,8
-517,8
394,8
503,8
-500,8
-395,8
-387,8
373,8
504,8
-472,8
-384,8
-619,8
-583,8
-439,8
-341,8
-542,8
440,8
443,8
402,8
-482,8
488,8
399,8
-457,8
-467,8
-323,8
580,8
358,8
-545,7
353,7
-552,7
605,7
521,7
481,7
398,7
498,7
552,7
413,7
-504,7
-394,7
-479,7
483,7
-450,7
612,7
669,7
476,7
-537,7
-625,7
538,7
-456,7
-656,7
-451,7
-549,7
696,7
417,7
-485,7
395,7
501,7
-529,7
-480,7
-382,7
434,7
-428,7
-576,7
-639,7
-436,7
-385,7
594,7
-446,7
-438,7
-429,7
-506,7
465,7
-649,7
466,6
-431,6
-412,6
495,6
411,6
-662,6
-508,6
-531,6
412,6
556,6
-410,6
-528,6
-494,6
705,6
-548,6
-591,6
-644,6
-414,6
-498,6
-614,6
359,6
-635,6
446,6
642,6
781,6
585,6
459,6
-621,6
-483,6
487,6
566,6
514,6
467,6
-536,6
567,6
697,6
768,6
-618,6
-557,6
-589,6
-486,6
-433,6
595,6
435,6
667,6
-492,6
517,6
-522,6
-594,6
-646,6
-464,6
523,6
-469,6
-501,6
-634,6
-555,6
-520,6
431,6
-603,6
-449,6
451,6
424,6
637,6
506,6
429,6
520,6
449,6
598,6
602,6
554,6
-448,6
419,6
574,6
-809,6
418,6
-499,6
-606,6
-497,5
445,5
436,5
-574,5
589,5
-600,5
756,5
539,5
-570,5
581,5
437,5
724,5
728,5
-445,5
610,5
596,5
-422,5
-507,5
-768,5
685,5
401,5
-516,5
508,5
-596,5
512,5
686,5
502,5
-792,5
511,5
-541,5
-762,5
582,5
485,5
587,5
604,5
527,5
490,5
-717,5
-408,5
-828,5
571,5
519,5
719,5
-454,5
593,5
616,5
761,5
-804,5
717,5
-521,5
-612,5
531,5
833,5
-672,5
516,5
510,5
515,5
754,5
-721,5
-573,5
-405,5
491,5
522,5
569,5
-533,5
-487,5
-515,5
-430,5
528,5
617,5
-505,5
441,5
-896,5
479,5
-632,5
553,5
-858,5
628,5
558,5
472,5
-474,5
470,5
375,5
-636,5
-564,5
-559,5
461,5
-462,5
555,5
-633,5
-554,5
469,5
668,5
557,5
-491,4
615,4
533,4
-470,4
532,4
-627,4
1601,4
-597,4
-732,4
577,4
-563,4
570,4
749,4
748,4
872,4
630,4
509,4
536,4
456,4
548,4
629,4
-532,4
-883,4
578,4
493,4
753,4
563,4
597,4
-489,4
752,4
-648,4
518,4
-490,4
1081,4
803,4
-693,4
657,4
-938,4
-530,4
807,4
-650,4
-823,4
-525,4
-608,4
1249,4
505,4
-561,4
-659,4
-800,4
606,4
-874,4
663,4
607,4
-524,4
452,4
-710,4
550,4
-1117,4
-811,4
462,4
525,4
-571,4
609,4
-463,4
-496,4
562,4
-575,4
549,4
-790,4
601,4
-493,4
-553,4
-727,4
-651,4
716,4
-726,4
1065,4
-609,4
507,4
-628,4
742,4
834,4
414,4
718,4
529,4
660,4
740,4
-739,4
634,4
787,4
584,4
-769,4
-957,4
626,4
-578,4
-567,4
-623,4
913,4
620,4
622,4
682,4
-772,4
864,4
792,4
-744,4
-509,4
-641,4
-771,4
-1257,4
860,4
-620,4
590,4
484,4
-581,4
-754,4
439,4
541,4
-638,4
-740,4
-513,4
-751,4
690,4
-765,4
486,4
-587,4
-539,4
-1097,4
-676,4
760,4
689,4
565,4
-558,4
650,4
544,4
-519,3
738,3
-602,3
884,3
-637,3
1253,3
-961,3
-761,3
811,3
814,3
904,3
661,3
-723,3
813,3
636,3
758,3
442,3
782,3
899,3
-756,3
-716,3
-572,3
-1096,3
608,3
912,3
-551,3
524,3
-805,3
731,3
453,3
-714,3
822,3
573,3
474,3
-1545,3
1245,3
-631,3
659,3
-582,3
-892,3
1064,3
644,3
-380,3
978,3
-1149,3
-758,3
635,3
-604,3
-1064,3
734,3
-893,3
643,3
1410,3
809,3
-1264,3
-1319,3
-592,3
-943,3
560,3
-897,3
1066,3
901,3
-784,3
801,3
793,3
1274,3
-642,3
